timestamp,episode,epsilon,return
2022-12-02 09:40:03,0,0.2498,-485.79475929260275
2022-12-02 09:40:36,1,0.2496,-175.84702198028575
2022-12-02 09:41:11,2,0.24939999999999998,-386.77208280563366
2022-12-02 09:41:53,4,0.24899999999999997,-496.65440238952635
2022-12-02 09:42:25,5,0.24879999999999997,-221.7329342651368
2022-12-02 09:42:58,6,0.24859999999999996,-842.7820098304726
2022-12-02 09:43:34,8,0.24819999999999995,-589.5237045288086
2022-12-02 09:44:19,10,0.24779999999999994,-273.62665613174437
2022-12-02 09:45:08,14,0.24699999999999991,-1049.0229992675743
2022-12-02 09:45:48,16,0.2465999999999999,-812.3191801452634
2022-12-02 09:46:32,18,0.2461999999999999,-230.11754711151127
2022-12-02 09:47:09,20,0.24579999999999988,-644.8655532836917
2022-12-02 09:47:44,22,0.24539999999999987,-194.86331470489534
2022-12-02 09:48:30,25,0.24479999999999985,-417.3626164627074
2022-12-02 09:49:05,27,0.24439999999999984,-388.0497928237914
2022-12-02 09:49:59,30,0.24379999999999982,-529.2361989212043
2022-12-02 09:50:46,33,0.2431999999999998,-536.930661468506
2022-12-02 09:51:18,34,0.2429999999999998,-647.5081341552732
2022-12-02 09:51:50,35,0.2427999999999998,-355.8397528076174
2022-12-02 09:52:21,36,0.2425999999999998,-816.7248572921752
2022-12-02 09:52:53,37,0.24239999999999978,-478.64126110076904
2022-12-02 09:53:56,42,0.24139999999999975,-213.38812705993678
2022-12-02 09:54:28,43,0.24119999999999975,-303.36465578079265
2022-12-02 09:55:12,45,0.24079999999999974,-923.5441507339466
2022-12-02 09:55:45,46,0.24059999999999973,-490.4040070724486
2022-12-02 09:56:16,47,0.24039999999999973,-321.4770765686034
2022-12-02 09:57:00,49,0.2399999999999997,-208.92437541961684
reset,reset,reset,reset
2022-12-02 10:02:13,0,0.2498,-499.0506388854981
2022-12-02 10:02:41,1,0.2496,-582.1072211456301
2022-12-02 10:03:07,2,0.24939999999999998,-338.068592071533
2022-12-02 10:03:34,3,0.24919999999999998,-477.83263591766377
2022-12-02 10:04:01,4,0.24899999999999997,-487.60168985366806
2022-12-02 10:04:28,5,0.24879999999999997,-186.91242979049693
2022-12-02 10:04:54,6,0.24859999999999996,-472.73595722198496
2022-12-02 10:05:22,7,0.24839999999999995,-217.2619410133363
2022-12-02 10:05:58,9,0.24799999999999994,-331.0363966369628
2022-12-02 10:06:51,13,0.24719999999999992,-414.9613667297362
2022-12-02 10:07:27,15,0.2467999999999999,-356.7095149230955
2022-12-02 10:08:06,18,0.2461999999999999,871.1579732894899
2022-12-02 10:08:32,19,0.24599999999999989,-1036.8447071075425
2022-12-02 10:08:59,20,0.24579999999999988,-580.9494161224362
2022-12-02 10:09:44,23,0.24519999999999986,-481.8664693832398
2022-12-02 10:10:19,25,0.24479999999999985,-403.7775981330874
2022-12-02 10:10:45,26,0.24459999999999985,-491.6106804656984
2022-12-02 10:11:11,27,0.24439999999999984,-443.74984691619863
2022-12-02 10:11:37,28,0.24419999999999983,-203.84244199752797
2022-12-02 10:12:04,29,0.24399999999999983,-545.6891405487061
2022-12-02 10:12:40,31,0.24359999999999982,-343.8928035736083
2022-12-02 10:13:06,32,0.2433999999999998,-536.8452552795407
2022-12-02 10:13:33,33,0.2431999999999998,-651.2486927795409
2022-12-02 10:14:01,34,0.2429999999999998,-732.3849259185785
2022-12-02 10:14:28,35,0.2427999999999998,-516.1429317092897
2022-12-02 10:14:54,36,0.2425999999999998,-442.6206196403505
2022-12-02 10:15:28,38,0.24219999999999978,-410.4461323547361
2022-12-02 10:16:02,40,0.24179999999999977,-389.9977500152588
2022-12-02 10:16:28,41,0.24159999999999976,-521.0961544418337
2022-12-02 10:17:03,43,0.24119999999999975,-300.9292610549928
2022-12-02 10:17:54,46,0.24059999999999973,-473.32169952392576
2022-12-02 10:18:30,48,0.24019999999999972,-297.7261913681029
2022-12-02 10:19:04,50,0.2397999999999997,-508.3260382080077
2022-12-02 10:19:31,51,0.2395999999999997,-578.6581662368774
2022-12-02 10:20:07,53,0.2391999999999997,-498.0072464370727
2022-12-02 10:20:41,55,0.23879999999999968,-267.35039649963386
2022-12-02 10:21:07,56,0.23859999999999967,-554.2011223602296
2022-12-02 10:21:34,57,0.23839999999999967,-271.08578098297124
2022-12-02 10:22:00,58,0.23819999999999966,-210.00406330108643
2022-12-02 10:22:26,59,0.23799999999999966,-401.73734016418456
2022-12-02 10:22:53,60,0.23779999999999965,-601.9924514007571
2022-12-02 10:23:28,62,0.23739999999999964,-258.90019029617304
2022-12-02 10:24:03,64,0.23699999999999963,-745.0479962921142
2022-12-02 10:24:30,65,0.23679999999999962,-313.39347053527825
2022-12-02 10:24:57,66,0.23659999999999962,-273.6089875411989
2022-12-02 10:25:23,67,0.2363999999999996,-308.5265972137453
2022-12-02 10:25:49,68,0.2361999999999996,-561.3555967712401
2022-12-02 10:26:35,71,0.2355999999999996,-735.9042731475822
2022-12-02 10:27:03,72,0.23539999999999958,-337.3823080825802
2022-12-02 10:27:39,74,0.23499999999999957,-1432.6637535095176
2022-12-02 10:28:06,75,0.23479999999999956,-373.06936531066896
2022-12-02 10:28:32,76,0.23459999999999956,-642.2056788253785
2022-12-02 10:29:16,79,0.23399999999999954,-451.70454391479484
2022-12-02 10:29:52,81,0.23359999999999953,-573.8073149871828
2022-12-02 10:30:19,82,0.23339999999999952,-335.8230242538453
2022-12-02 10:30:56,84,0.2329999999999995,-235.7031674385071
2022-12-02 10:31:48,88,0.2321999999999995,-337.9273044967654
2022-12-02 10:32:15,89,0.23199999999999948,-274.92289249420185
2022-12-02 10:33:09,93,0.23119999999999946,-641.1258165740967
2022-12-02 10:33:37,94,0.23099999999999946,-458.2076083755494
2022-12-02 10:34:13,96,0.23059999999999944,-588.1838953781125
2022-12-02 10:34:49,98,0.23019999999999943,-859.1177407836915
2022-12-02 10:35:17,99,0.22999999999999943,-638.2528105926514
2022-12-02 10:35:53,101,0.22959999999999942,-567.9228839111329
